rank,sample_id,category,priority_score,disposition,non_abstained_signals,exact_joint_matches,reference_conflict_type,reference_revision_action,llm_conflict_type,llm_revision_action,llm_abstained,llm_exact_joint_match,rules_conflict_type,rules_revision_action,rules_abstained,rules_exact_joint_match,requires_claim_limitation,triage_reason
27,F0174,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
28,F0175,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
29,F0176,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
30,F0179,entity_confusion,166,machine_disputed,2,0,entity,requalify_entity,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
31,F0241,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
32,F0246,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
33,F0248,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
34,F0249,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
35,F0250,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
36,F0251,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
37,F0252,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
38,F0254,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
39,F0259,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
40,F0260,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
41,F0261,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
42,F0262,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,counter_evidence,prefer_reliable_source,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
43,F0265,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
44,F0267,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
45,F0268,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,no_conflict,qualify_uncertainty,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
46,F0269,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,counter_evidence,prefer_reliable_source,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
47,F0270,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
48,F0277,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
49,F0278,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
50,F0281,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,no_conflict,qualify_uncertainty,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
51,F0284,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
52,F0285,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,definition,qualify_uncertainty,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
53,F0287,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
54,F0289,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
55,F0292,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
56,F0294,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
57,F0295,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
58,F0296,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
59,F0297,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
60,F0298,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,numerical,replace_numerical,false,false,numerical,replace_numerical,false,false,true,two non-abstaining machine signals disagree with the construction reference
61,F0300,multi_source_conflict,166,machine_disputed,2,0,source_reliability,prefer_reliable_source,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
62,F0064,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
63,F0070,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
64,F0073,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,entity,requalify_entity,false,false,true,two non-abstaining machine signals disagree with the construction reference
65,F0075,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
66,F0084,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,definition,clarify_definition,false,false,causal,downgrade_causal_to_correlation,false,false,true,two non-abstaining machine signals disagree with the construction reference
67,F0088,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
68,F0091,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
69,F0120,numerical_conflict,166,machine_disputed,2,0,numerical,replace_numerical,temporal,correct_temporal,false,false,temporal,correct_temporal,false,false,true,two non-abstaining machine signals disagree with the construction reference
70,F0181,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,source_reliability,prefer_reliable_source,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
71,F0182,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
72,F0184,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
73,F0185,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
74,F0187,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
75,F0188,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
76,F0192,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
77,F0193,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
78,F0195,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,numerical,replace_numerical,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
79,F0201,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
80,F0205,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
81,F0210,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
82,F0213,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
83,F0222,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
84,F0223,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
85,F0231,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,definition,clarify_definition,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
86,F0236,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,definition,clarify_definition,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
87,F0237,causal_overclaim,158,machine_disputed,1,0,causal,downgrade_causal_to_correlation,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
88,F0123,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,definition,clarify_definition,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
89,F0126,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
90,F0128,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,definition,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
91,F0132,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
92,F0133,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,definition,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
93,F0136,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,numerical,replace_numerical,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
94,F0137,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,definition,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
95,F0138,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,counter_evidence,qualify_uncertainty,true,false,temporal,correct_temporal,false,false,true,one non-abstaining machine signal disagrees while the other abstains
96,F0142,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,definition,clarify_definition,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
97,F0144,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
98,F0146,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
99,F0148,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
100,F0149,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
101,F0151,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
102,F0153,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,definition,clarify_definition,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
103,F0155,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,source_reliability,prefer_reliable_source,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
104,F0159,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
105,F0160,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
106,F0162,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
107,F0164,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
108,F0168,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
109,F0169,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,counter_evidence,downgrade_causal_to_correlation,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
110,F0172,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
111,F0177,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
112,F0178,entity_confusion,158,machine_disputed,1,0,entity,requalify_entity,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
113,F0079,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
114,F0083,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
115,F0087,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
116,F0093,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
117,F0094,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
118,F0100,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
119,F0103,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
120,F0108,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
121,F0114,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,temporal,correct_temporal,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
122,F0119,numerical_conflict,158,machine_disputed,1,0,numerical,replace_numerical,no_conflict,qualify_uncertainty,false,false,no_conflict,qualify_uncertainty,true,false,true,one non-abstaining machine signal disagrees while the other abstains
